# version=2017
provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |  astCat|mag  |band
2008 TC3   | K08T03C| CCD|204 |    |2008-10-06T19:40:14.304Z|352.28821  | +7.74317  |   NOMAD|16.7 |   R
2008 TC3   | K08T03C| CCD|204 |    |2008-10-06T19:41:19.968Z|352.29238  | +7.74392  |   NOMAD|     |    
2008 TC3   | K08T03C| CCD|204 |    |2008-10-06T19:42:25.632Z|352.2965   | +7.74456  |   NOMAD|     |    
2008 TC3   | K08T03C| CCD|620 |    |2008-10-06T19:45:24.480Z|352.51929  | +7.91203  |   UCAC2|16.5 |   V
2008 TC3   | K08T03C| CCD|143 |    |2008-10-06T19:48:11.232Z|352.30842  | +7.73892  |   UCAC2|16.9 |   R
2008 TC3   | K08T03C| CCD|620 |    |2008-10-06T19:49:38.496Z|352.53721  | +7.91689  |   UCAC2|16.6 |   V
2008 TC3   | K08T03C| CCD|204 |    |2008-10-06T19:50:44.160Z|352.32858  | +7.74992  |   NOMAD|     |    
2008 TC3   | K08T03C| CCD|204 |    |2008-10-06T19:51:49.824Z|352.33283  | +7.75061  |   NOMAD|     |    
2008 TC3   | K08T03C| CCD|204 |    |2008-10-06T19:52:55.488Z|352.337    | +7.75136  |   NOMAD|     |    
2008 TC3   | K08T03C| CCD|204 |    |2008-10-06T19:54:01.152Z|352.34133  | +7.75203  |   NOMAD|     |    
2008 TC3   | K08T03C| CCD|204 |    |2008-10-06T19:57:53.568Z|352.35638  | +7.75453  |   NOMAD|16.6 |   R
2008 TC3   | K08T03C| CCD|620 |    |2008-10-06T19:59:04.416Z|352.57675  | +7.92786  |   UCAC2|16.3 |   V
2008 TC3   | K08T03C| CCD|143 |    |2008-10-06T20:02:24.864Z|352.36383  | +7.74758  |   UCAC2|16.7 |   R
2008 TC3   | K08T03C| CCD|473 |    |2008-10-06T20:02:36.960Z|352.26538  | +7.75833  |   UCAC2|15.9 |   R
2008 TC3   | K08T03C| CCD|046 |    |2008-10-06T20:04:18.048Z|352.22142  | +7.68217  |  USNOB1|     |    
2008 TC3   | K08T03C| CCD|046 |    |2008-10-06T20:05:01.248Z|352.22283  | +7.68211  |  USNOB1|     |    
2008 TC3   | K08T03C| CCD|046 |    |2008-10-06T20:05:34.944Z|352.225    | +7.68211  |  USNOB1|     |    
2008 TC3   | K08T03C| CCD|046 |    |2008-10-06T20:06:08.640Z|352.22704  | +7.68242  |  USNOB1|16.3 |   R
2008 TC3   | K08T03C| CCD|046 |    |2008-10-06T20:06:44.064Z|352.22925  | +7.68258  |  USNOB1|     |    
2008 TC3   | K08T03C| CCD|620 |    |2008-10-06T20:08:39.840Z|352.61708  | +7.93917  |   UCAC2|16.5 |   V
2008 TC3   | K08T03C| CCD|473 |    |2008-10-06T20:09:48.096Z|352.29054  | +7.76231  |   UCAC2|16.5 |   R
2008 TC3   | K08T03C| CCD|J75 |    |2008-10-06T20:12:41.760Z|352.79317  | +7.98408  |  USNOB1|17.5 |   V
2008 TC3   | K08T03C| CCD|620 |    |2008-10-06T20:13:21.504Z|352.63704  | +7.94472  |   UCAC2|16.6 |   V
2008 TC3   | K08T03C| CCD|046 |    |2008-10-06T20:13:35.328Z|352.25433  | +7.68489  |  USNOB1|     |    
2008 TC3   | K08T03C| CCD|046 |    |2008-10-06T20:14:48.768Z|352.25908  | +7.68519  |  USNOB1|     |    
