# version=2017
provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |rmsRA |rmsDec|rmsCorr|  astCat|mag  |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                      
2026 FQ12  | C464WC1| CMO|K74 |    |2026-03-27T22:12:03.700Z|179.52552  | -2.31889  |0.27  |0.27  |       |  ATLAS2|17.3 |0.15  |  Vj|  ATLAS2| 6.2  |0.92  | 120|0.25  |K    |                             
2026 FQ12  | C464WC1| CMO|K74 |    |2026-03-27T22:14:08.300Z|179.52787  | -2.33697  |0.27  |0.3   |       |  ATLAS2|17.4 |0.15  |  Vj|  ATLAS2| 6.2  |0.89  | 114|0.27  |K    |                             
2026 FQ12  | C464WC1| CMO|K74 |    |2026-03-27T22:16:09.600Z|179.53013  | -2.3547   |0.27  |0.27  |       |  ATLAS2|17.3 |0.16  |  Vj|  ATLAS2| 6.2  |0.91  | 114|0.25  |K    |                             
2026 FQ12  | C464WC1| CMO|K74 |    |2026-03-27T22:18:11.000Z|179.53243  | -2.37231  |0.28  |0.27  |       |  ATLAS2|17.3 |0.15  |  Vj|  ATLAS2| 6.2  |0.9   | 114|0.25  |K    |                             
2026 FQ12  | C464WC1| CMO|K74 |    |2026-03-27T22:20:12.400Z|179.53473  | -2.38994  |0.29  |0.28  |       |  ATLAS2|17.4 |0.13  |  Vj|  ATLAS2| 6.2  |0.91  | 114|0.28  |K    |                             
2026 FQ12  | C464WC1| CMO|Y05 |    |2026-03-27T22:36:03.000Z|179.703803 | -2.304186 |0.33  |0.27  |       |  Gaia3E|17.1 |0.06  |   G|  Gaia3E| 5.4  |1.41  | 165|0.42  |K    |                             
2026 FQ12  | C464WC1| CMO|Y05 |    |2026-03-27T22:41:45.000Z|179.710696 | -2.353919 |0.31  |0.32  |       |  Gaia3E|17   |0.17  |   G|  Gaia3E| 5.4  |1.51  | 165|0.44  |K    |                             
2026 FQ12  | C464WC1| CMO|Y05 |    |2026-03-27T22:47:31.500Z|179.717457 | -2.404063 |0.35  |0.33  |       |  Gaia3E|17   |0.19  |   G|  Gaia3E| 5.4  |1.46  | 170|0.48  |K    |                             
2026 FQ12  | C464WC1| CMO|595 |    |2026-03-27T23:44:38.800Z|179.61702  | -3.10072  |0.47  |0.4   |       |  Gaia3E|16.8 |0.12  |   G|  Gaia3E| 5    |1.05  |  25|0.62  |K    |                             
2026 FQ12  | C464WC1| CMO|595 |    |2026-03-27T23:45:11.200Z|179.61767  | -3.10529  |0.52  |0.45  |       |  Gaia3E|16.7 |0.15  |   G|  Gaia3E| 5    |1.03  |  25|0.69  |K    |                             
2026 FQ12  | C464WC1| CMO|595 |    |2026-03-27T23:45:43.700Z|179.61834  | -3.10972  |0.49  |0.46  |       |  Gaia3E|17.4 |0.2   |   G|  Gaia3E| 5    |1.03  |  25|0.67  |K    |                             
2026 FQ12  | C464WC1| CMO|204 |  00|2026-03-28T00:28:09.000Z|179.673264 | -3.459361 |0.186 |0.206 |       |   Gaia3|     |      |    |        |      |1.79  | 192|0.27  |K    |                             
2026 FQ12  | C464WC1| CMO|204 |  00|2026-03-28T00:34:42.700Z|179.67999  | -3.512633 |0.139 |0.165 |       |   Gaia3|     |      |    |        |      |1.79  | 192|0.2   |K    |                             
2026 FQ12  | C464WC1| CMO|204 |  00|2026-03-28T00:41:09.400Z|179.686677 | -3.564925 |0.178 |0.171 |       |   Gaia3|16.9 |0.07  |   G|   Gaia3| 4.7  |1.76  | 192|0.24  |K    |                             
2026 FQ12  | C464WC1| CCD|807 |  0W|2026-03-28T01:17:03.260Z|179.921    | -3.617667 |0.04  |0.04  |       |   Gaia2|16.8 |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|807 |  0W|2026-03-28T01:22:06.530Z|179.926083 | -3.658306 |0.04  |0.04  |       |   Gaia2|17   |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|807 |  0W|2026-03-28T01:27:08.930Z|179.931083 | -3.698833 |0.03  |0.03  |       |   Gaia2|17   |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|I52 |  01|2026-03-28T04:14:00.301Z|180.167985 | -5.16839  |0.102 |0.083 | 0     |   Gaia2|17.16|0.541 |   G|   Gaia2|      |1.462 |    |0.12  |m    |                             
2026 FQ12  | C464WC1| CCD|I52 |  01|2026-03-28T04:18:14.338Z|180.171765 | -5.19946  |0.105 |0.086 | 0     |   Gaia2|17.09|0.559 |   G|   Gaia2|      |1.555 |    |0.122 |m    |                             
2026 FQ12  | C464WC1| CCD|I52 |  01|2026-03-28T04:22:29.225Z|180.1755   | -5.23059  |0.099 |0.077 | 0     |   Gaia2|17.04|0.523 |   G|   Gaia2|      |1.441 |    |0.109 |m    |                             
2026 FQ12  | C464WC1| CCD|H21 |    |2026-03-28T04:33:46.714Z|180.12583  | -5.3325   |      |      |       |   Gaia2|17.2 |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|H21 |    |2026-03-28T04:35:13.373Z|180.12708  | -5.34303  |      |      |       |   Gaia2|17.2 |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|H21 |    |2026-03-28T04:36:44.438Z|180.12825  | -5.35397  |      |      |       |   Gaia2|17.2 |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|H21 |    |2026-03-28T04:38:15.504Z|180.12946  | -5.36492  |      |      |       |   Gaia2|17.2 |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|H21 |    |2026-03-28T04:41:17.808Z|180.13188  | -5.38694  |      |      |       |   Gaia2|17.1 |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|H21 |    |2026-03-28T04:42:48.960Z|180.13313  | -5.39786  |      |      |       |   Gaia2|17.3 |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|H21 |    |2026-03-28T04:44:20.198Z|180.13425  | -5.40878  |      |      |       |   Gaia2|17.4 |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|H21 |    |2026-03-28T04:45:51.264Z|180.13546  | -5.41969  |      |      |       |   Gaia2|17.3 |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|K91 |  09|2026-03-28T19:01:07.517Z|181.212664 |-10.321926 |0.258 |0.258 |       |   Gaia3|17.96|0.131 |  Sg|        |      |      |  15|      |     |candidate                    
2026 FQ12  | C464WC1| CCD|K91 |  09|2026-03-28T19:01:52.481Z|181.213073 |-10.325636 |0.15  |0.15  |       |   Gaia3|17.74|0.087 |  Sr|        |      |      |  15|      |     |candidate                    
2026 FQ12  | C464WC1| CCD|K91 |  09|2026-03-28T19:02:37.977Z|181.213542 |-10.329356 |0.15  |0.15  |       |   Gaia3|17.42|0.098 |  Si|        |      |      |  15|      |     |candidate                    
2026 FQ12  | C464WC1| CMO|L47 |    |2026-03-28T20:14:30.000Z|181.25468  |-10.85797  |0.42  |0.62  |       |   Gaia3|17   |0.11  |   G|   Gaia3| 4.5  |1.46  | 406|0.71  |K    |                             
2026 FQ12  | C464WC1| CCD|C82 |    |2026-03-28T20:14:40.992Z|181.2555   |-10.85456  |      |      |       |  ATLAS2|18.4 |      |   V|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|C82 |    |2026-03-28T20:18:54.144Z|181.25754  |-10.87503  |      |      |       |  ATLAS2|18.1 |      |   V|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CMO|L47 |    |2026-03-28T20:19:10.000Z|181.25767  |-10.88057  |0.98  |1.03  |       |   Gaia3|17.5 |0.19  |   G|   Gaia3| 4.5  |0.79  | 406|0.47  |K    |                             
2026 FQ12  | C464WC1| CMO|L76 |    |2026-03-28T20:22:58.829Z|181.21083  |-10.90775  |      |      |       |  Gaia3E|17.4 |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CMO|160 |    |2026-03-28T20:25:07.200Z|181.263185 |-10.909329 |1.16  |1.17  |       |   Gaia2|16.62|0.16  |   G|   Gaia2| 8.8  |0.82  | 720|1.65  |K    |                             
2026 FQ12  | C464WC1| CCD|C82 |    |2026-03-28T20:26:20.832Z|181.26167  |-10.91039  |      |      |       |  ATLAS2|17.8 |      |   V|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CMO|160 |    |2026-03-28T20:29:03.310Z|181.265487 |-10.928132 |1.07  |1.08  |       |   Gaia2|16.53|0.16  |   G|   Gaia2| 8.8  |0.82  | 360|1.52  |K    |                             
2026 FQ12  | C464WC1| CCD|C82 |    |2026-03-28T20:31:19.776Z|181.26413  |-10.93447  |      |      |       |  ATLAS2|17.4 |      |   V|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CMO|L76 |    |2026-03-28T20:34:39.792Z|181.21704  |-10.96306  |      |      |       |  Gaia3E|18   |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CMO|L76 |    |2026-03-28T20:46:15.485Z|181.22246  |-11.01758  |      |      |       |  Gaia3E|17.4 |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|J95 |  00|2026-03-28T21:07:47.360Z|181.29589  |-11.1197   |0.27  |0.25  |       |   Gaia3|17.6 |0.23  |   G|   Gaia3| 7.6  |1.35  | 240|0.29  |K    |                             
2026 FQ12  | C464WC1| CCD|J95 |  00|2026-03-28T21:12:17.790Z|181.29848  |-11.1408   |0.36  |0.35  |       |   Gaia3|17.6 |0.24  |   G|   Gaia3| 7.6  |1.21  | 240|0.26  |K    |                             
2026 FQ12  | C464WC1| CMO|J69 |  00|2026-03-28T21:14:06.700Z|181.30009  |-11.14848  |0.71  |0.69  |       |  ATLAS2|17.4 |0.19  |   G|  ATLAS2|10.4  |1.06  | 500|0.3   |K    |                             
2026 FQ12  | C464WC1| CMO|126 |    |2026-03-28T21:16:24.528Z|181.291992 |-11.151767 |      |      |       |  ATLAS2|     |      |    |        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CMO|126 |    |2026-03-28T21:17:33.907Z|181.292892 |-11.157328 |      |      |       |  ATLAS2|     |      |    |        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|J95 |  00|2026-03-28T21:18:03.870Z|181.3021   |-11.16776  |0.31  |0.31  |       |   Gaia3|17.7 |0.22  |   G|   Gaia3| 7.6  |1.25  | 240|0.29  |K    |                             
2026 FQ12  | C464WC1| CMO|J69 |  00|2026-03-28T21:18:46.300Z|181.30294  |-11.17042  |0.6   |0.61  |       |  ATLAS2|17.8 |0.24  |   G|  ATLAS2|10.4  |0.89  | 500|0.3   |K    |                             
2026 FQ12  | C464WC1| CCD|J95 |  00|2026-03-28T21:22:42.630Z|181.30485  |-11.18941  |0.38  |0.39  |       |   Gaia3|17.7 |0.19  |   G|   Gaia3| 7.6  |1.25  | 240|0.35  |K    |                             
2026 FQ12  | C464WC1| CMO|J69 |  00|2026-03-28T21:23:26.100Z|181.30554  |-11.19215  |0.65  |0.67  |       |  ATLAS2|17.8 |0.25  |   G|  ATLAS2|10.4  |0.87  | 500|0.33  |K    |                             
2026 FQ12  | C464WC1| CMO|R45 |    |2026-03-28T22:12:48.384Z|181.34979  |-11.40658  |      |      |       |  ATLAS2|17.6 |      |   V|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CMO|K83 |    |2026-03-28T22:21:43.000Z|181.32062  |-11.45169  |0.49  |0.45  |       |  Gaia3E|18.1 |0.41  |   G|  Gaia3E| 5.2  |0.76  | 143|0.66  |K    |                             
2026 FQ12  | C464WC1| CMO|K83 |    |2026-03-28T22:24:45.000Z|181.32202  |-11.46534  |0.46  |0.5   |       |  Gaia3E|18   |0.45  |   G|  Gaia3E| 5.2  |1.03  | 143|0.68  |K    |                             
2026 FQ12  | C464WC1| CMO|K83 |    |2026-03-28T22:27:45.000Z|181.3233   |-11.47888  |0.45  |0.48  |       |  Gaia3E|18.3 |0.37  |   G|  Gaia3E| 5.2  |0.82  | 143|0.66  |K    |                             
2026 FQ12  | C464WC1| CMO|Y76 |    |2026-03-28T22:29:03.840Z|181.34671  |-11.47761  |      |      |       |  ATLAS2|18.1 |      |   V|        |      |      |    |      |     |                             
