# version=2017
provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|rmsCorr|  astCat|mag  |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                        
2023 CX1   | Sar2667| CCD|587 |    |2023-02-12T22:52:18.163Z|119.20825  |+35.99214  |     |      |       |   Gaia2|     |      |    |        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|203 |    |2023-02-12T22:52:27.235Z|119.21333  |+36.00858  |     |      |       |   Gaia2|18.8 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|G18 |    |2023-02-12T22:53:12.768Z|119.11583  |+36.03872  |     |      |       |   Gaia2|17.3 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|587 |    |2023-02-12T22:54:38.995Z|119.20388  |+35.99964  |     |      |       |   Gaia2|     |      |    |        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|587 |    |2023-02-12T22:56:59.827Z|119.19963  |+36.00706  |     |      |       |   Gaia2|18.1 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|M29 |    |2023-02-12T22:58:12.576Z|119.06025  |+36.06933  |     |      |       |  Gaia3E|18.2 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|203 |    |2023-02-12T23:01:40.800Z|119.19554  |+36.03903  |     |      |       |   Gaia2|18.5 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|G18 |    |2023-02-12T23:02:25.728Z|119.09396  |+36.06789  |     |      |       |   Gaia2|17.3 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|M29 |    |2023-02-12T23:04:33.600Z|119.04396  |+36.08947  |     |      |       |  Gaia3E|18.5 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|C95 |    |2023-02-12T23:05:53.520Z|119.29846  |+36.14608  |     |      |       |  Gaia3E|18.8 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|104 |    |2023-02-12T23:06:35.510Z|119.09383  |+36.11083  |     |      |       |   Gaia2|18.3 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|K63 |    |2023-02-12T23:07:32.7Z  |119.105343 |+36.115689 |0.39 |0.38  |       |   Gaia2|16.9 |0.08  |   G|   Gaia2| 5.6  |1.39  | 450|0.32  |K    |                                               
2023 CX1   | K23C01X| CCD|K88 |    |2023-02-12T23:09:03.600Z|118.82446  |+35.8675   |     |      |       |   Gaia2|18.9 |      |   G|        |      |      |    |      |C    |                                               
2023 CX1   | Sar2667| CCD|M26 |    |2023-02-12T23:10:09.696Z|119.06775  |+36.13372  |     |      |       |   Gaia2|18.1 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|G18 |    |2023-02-12T23:10:33.888Z|119.07446  |+36.09472  |     |      |       |   Gaia2|18.3 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|M29 |    |2023-02-12T23:10:33.888Z|119.02804  |+36.10889  |     |      |       |  Gaia3E|19   |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|A17 |    |2023-02-12T23:11:15.9Z  |119.24885  |+35.88897  |0.18 |0.16  |       |   Gaia2|18.4 |0.14  |   G|   Gaia2| 6.1  |0.97  | 0.1|0.18  |K    |                                               
2023 CX1   | K23C01X| CCD|K88 |    |2023-02-12T23:12:09.619Z|118.81762  |+35.87319  |     |      |       |   Gaia2|18.6 |      |   G|        |      |      |    |      |C    |                                               
2023 CX1   | Sar2667| CCD|C95 |    |2023-02-12T23:12:11.520Z|119.28583  |+36.17144  |     |      |       |  Gaia3E|18.2 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|A17 |    |2023-02-12T23:13:38.0Z  |119.24669  |+35.89557  |0.17 |0.14  |       |   Gaia2|18.3 |0.12  |   G|   Gaia2| 6.1  |1.17  | 0.1|0.17  |K    |                                               
2023 CX1   | Sar2667| CCD|203 |    |2023-02-12T23:13:53.731Z|119.17163  |+36.08047  |     |      |       |   Gaia2|18.4 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | K23C01X| CCD|958 |    |2023-02-12T23:15:15.80Z |119.565701 |+36.230545 |0.18 |0.17  |       |  Gaia3E|18.5 |0.1   |   G|   Gaia2| 8.7  |1.23  | 400|      |K    |Replacement of trkID: 00000H7KWY               
2023 CX1   | K23C01X| CCD|K88 |    |2023-02-12T23:15:15.811Z|118.81079  |+35.87886  |     |      |       |   Gaia2|18.6 |      |   G|        |      |      |    |      |C    |                                               
2023 CX1   | Sar2667| CCD|A17 |    |2023-02-12T23:15:59.9Z  |119.24446  |+35.90226  |0.15 |0.15  |       |   Gaia2|18.5 |0.12  |   G|   Gaia2| 6.1  |1.13  | 0.1|0.16  |K    |                                               
2023 CX1   | Sar2667| CCD|K63 |    |2023-02-12T23:16:05.2Z  |119.084383 |+36.145318 |0.24 |0.26  |       |   Gaia2|16.6 |0.07  |   G|   Gaia2| 5.6  |1.58  | 315|0.22  |K    |                                               
2023 CX1   | Sar2667| CCD|M29 |    |2023-02-12T23:16:34.176Z|119.01246  |+36.12886  |     |      |       |  Gaia3E|19   |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|G18 |    |2023-02-12T23:17:28.608Z|119.05779  |+36.11733  |     |      |       |   Gaia2|     |      |    |        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|C95 |    |2023-02-12T23:18:16.042Z|119.274    |+36.19636  |     |      |       |  Gaia3E|17.5 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|M26 |    |2023-02-12T23:20:15.360Z|119.04113  |+36.16878  |     |      |       |   Gaia2|18   |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|104 |    |2023-02-12T23:21:07.978Z|119.05763  |+36.16056  |     |      |       |   Gaia2|19   |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | K23C01X| CCD|958 |    |2023-02-12T23:23:54.46Z |119.555891 |+36.273494 |0.22 |0.21  |       |  Gaia3E|18.3 |0.1   |   G|   Gaia2| 8.7  |1.27  | 400|      |K    |Replacement of trkID: 00000H7KWY               
2023 CX1   | Sar2667| CCD|G18 |    |2023-02-12T23:24:13.824Z|119.04133  |+36.14033  |     |      |       |   Gaia2|19   |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|G18 |    |2023-02-12T23:32:13.344Z|119.01979  |+36.16633  |     |      |       |   Gaia2|     |      |    |        |      |      |    |      |K    |                                               
2023 CX1   | K23C01X| CCD|958 |    |2023-02-12T23:32:31.46Z |119.546174 |+36.317872 |0.17 |0.17  |       |  Gaia3E|18.5 |0.09  |   G|   Gaia2| 8.7  |1.29  | 400|      |K    |Replacement of trkID: 00000H7KWY               
2023 CX1   | Sar2667| CCD|204 |    |2023-02-12T23:33:04.147Z|119.14983  |+36.13333  |     |      |       |   Gaia2|     |      |    |        |      |      |    |      |K    |                                               
2023 CX1   | K23C01X| CCD|C65 |  03|2023-02-12T23:35:42.0Z  |119.437971 |+36.408824 |0.22 |0.26  |       |  Gaia3E|18.5 |0.22  |   G|  Gaia3E| 3.6  |1.01  | 160|      |K    |                                               
2023 CX1   | Sar2667| CCD|A17 |    |2023-02-12T23:40:43.1Z  |119.22449  |+35.97397  |0.15 |0.15  |       |   Gaia2|18.8 |0.13  |   G|   Gaia2| 6.1  |1.09  | 0.1|0.18  |K    |                                               
2023 CX1   | Sar2667| CCD|203 |    |2023-02-12T23:41:19.738Z|119.11813  |+36.17797  |     |      |       |   Gaia2|18   |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|G18 |    |2023-02-12T23:41:26.304Z|118.99958  |+36.20019  |     |      |       |   Gaia2|17.5 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|204 |    |2023-02-12T23:41:31.488Z|119.13446  |+36.16392  |     |      |       |   Gaia2|18.2 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|I93 |    |2023-02-12T23:42:21.946Z|119.50921  |+36.31797  |     |      |       |  Gaia3E|18.3 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|A17 |    |2023-02-12T23:43:05.4Z  |119.2231   |+35.98104  |0.16 |0.14  |       |   Gaia2|18.3 |0.13  |   G|   Gaia2| 6.1  |1.07  | 0.1|0.19  |K    |                                               
2023 CX1   | Sar2667| CCD|A17 |    |2023-02-12T23:45:27.3Z  |119.22157  |+35.98813  |0.17 |0.15  |       |   Gaia2|18.1 |0.11  |   G|   Gaia2| 6.1  |1.25  | 0.1|0.2   |K    |                                               
2023 CX1   | Sar2667| CCD|I93 |    |2023-02-12T23:46:05.290Z|119.50563  |+36.33753  |     |      |       |  Gaia3E|18.1 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|C82 |    |2023-02-12T23:47:24.000Z|118.74633  |+36.39008  |     |      |       |   Gaia2|18.3 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | K23C01X| CCD|C65 |  03|2023-02-12T23:47:29.4Z  |119.416718 |+36.474979 |0.24 |0.21  |       |  Gaia3E|18.2 |0.13  |   G|  Gaia3E| 3.6  |1.06  | 160|      |K    |                                               
2023 CX1   | Sar2667| CCD|C95 |    |2023-02-12T23:47:43.526Z|119.21483  |+36.32456  |     |      |       |  Gaia3E|16.8 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|104 |    |2023-02-12T23:48:38.995Z|118.98775  |+36.26161  |     |      |       |   Gaia2|18.5 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|C82 |    |2023-02-12T23:48:47.808Z|118.74008  |+36.39567  |     |      |       |   Gaia2|18.3 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|I93 |    |2023-02-12T23:49:48.029Z|119.50217  |+36.35731  |     |      |       |  Gaia3E|18.1 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|204 |    |2023-02-12T23:49:58.483Z|119.11954  |+36.19536  |     |      |       |   Gaia2|     |      |    |        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|203 |    |2023-02-12T23:51:51.667Z|119.09812  |+36.21742  |     |      |       |   Gaia2|18.1 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|C95 |    |2023-02-12T23:52:11.539Z|119.20604  |+36.34531  |     |      |       |  Gaia3E|18   |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|I93 |    |2023-02-12T23:53:30.854Z|119.49879  |+36.37744  |     |      |       |  Gaia3E|18   |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|104 |    |2023-02-12T23:54:04.032Z|118.97429  |+36.28247  |     |      |       |   Gaia2|18.9 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|I93 |    |2023-02-12T23:57:13.939Z|119.49563  |+36.39811  |     |      |       |  Gaia3E|18.2 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|K63 |    |2023-02-12T23:59:04.5Z  |118.977664 |+36.306103 |0.22 |0.21  |       |   Gaia2|17.7 |0.1   |   G|   Gaia2| 5.6  |1.12  | 150|0.25  |K    |                                               
2023 CX1   | K23C01X| CCD|C65 |  03|2023-02-12T23:59:38.5Z  |119.395005 |+36.547629 |0.29 |0.27  |       |  Gaia3E|18.1 |0.08  |   G|  Gaia3E| 3.6  |1.09  | 160|      |K    |                                               
2023 CX1   | Sar2667| CCD|203 |    |2023-02-13T00:03:32.803Z|119.07738  |+36.26353  |     |      |       |   Gaia2|18.1 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|104 |    |2023-02-13T00:03:32.976Z|118.95021  |+36.31883  |     |      |       |   Gaia2|19.3 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|K63 |    |2023-02-13T00:05:09.4Z  |118.963023 |+36.331326 |0.19 |0.2   |       |   Gaia2|18.3 |0.12  |   G|   Gaia2| 5.6  |0.98  | 210|0.25  |K    |                                               
2023 CX1   | Sar2667| CCD|C95 |    |2023-02-13T00:09:05.530Z|119.17396  |+36.42858  |     |      |       |  Gaia3E|18.3 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|K63 |    |2023-02-13T00:10:39.1Z  |118.95011  |+36.354172 |0.19 |0.23  |       |   Gaia2|18.3 |0.12  |   G|   Gaia2| 5.6  |1     | 240|0.26  |K    |                                               
2023 CX1   | K23C01X| CCD|C65 |  03|2023-02-13T00:11:36.7Z  |119.374225 |+36.624555 |0.29 |0.21  |       |  Gaia3E|17.9 |0.19  |   G|  Gaia3E| 3.6  |1.1   | 160|      |K    |                                               
2023 CX1   | Sar2667| CCD|I93 |    |2023-02-13T00:11:42.173Z|119.48504  |+36.48286  |     |      |       |  Gaia3E|17.9 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|I93 |    |2023-02-13T00:16:40.598Z|119.48221  |+36.51386  |     |      |       |  Gaia3E|17.8 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|I93 |    |2023-02-13T00:21:38.678Z|119.47987  |+36.54592  |     |      |       |  Gaia3E|17.8 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|I93 |    |2023-02-13T00:26:36.413Z|119.47825  |+36.57914  |     |      |       |  Gaia3E|17.7 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|C95 |    |2023-02-13T00:28:58.973Z|119.13954  |+36.53753  |     |      |       |  Gaia3E|17.6 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|I93 |    |2023-02-13T00:31:34.147Z|119.47721  |+36.61364  |     |      |       |  Gaia3E|17.6 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|104 |    |2023-02-13T00:33:19.037Z|118.88204  |+36.45131  |     |      |       |   Gaia2|18.1 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|I93 |    |2023-02-13T00:36:32.141Z|119.47696  |+36.64964  |     |      |       |  Gaia3E|17.7 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|104 |    |2023-02-13T00:41:13.027Z|118.86583  |+36.49003  |     |      |       |   Gaia2|17.7 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|C95 |    |2023-02-13T00:41:23.482Z|119.12188  |+36.61378  |     |      |       |  Gaia3E|18   |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|I93 |    |2023-02-13T00:41:30.048Z|119.47754  |+36.68722  |     |      |       |  Gaia3E|17.5 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|I93 |    |2023-02-13T00:46:25.190Z|119.47921  |+36.72617  |     |      |       |  Gaia3E|17.5 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|C95 |    |2023-02-13T00:51:18.518Z|119.11054  |+36.68083  |     |      |       |  Gaia3E|17.2 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|204 |    |2023-02-13T00:53:35.203Z|119.04442  |+36.47994  |     |      |       |   Gaia2|17.4 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|204 |    |2023-02-13T00:59:53.203Z|119.04383  |+36.51589  |     |      |       |   Gaia2|     |      |    |        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|C95 |    |2023-02-13T01:01:10.963Z|119.10279  |+36.7555   |     |      |       |  Gaia3E|16.9 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|L54 |    |2023-02-13T01:02:15.936Z|118.4045   |+36.11983  |     |      |       |   Gaia2|17.1 |      |   G|        |      |      |    |      |     |                                               
2023 CX1   | Sar2667| CCD|L54 |    |2023-02-13T01:05:00.096Z|118.40225  |+36.12425  |     |      |       |   Gaia2|17.3 |      |   G|        |      |      |    |      |     |                                               
2023 CX1   | Sar2667| CCD|204 |    |2023-02-13T01:06:10.944Z|119.04529  |+36.55417  |     |      |       |   Gaia2|     |      |    |        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|L54 |    |2023-02-13T01:07:43.392Z|118.3995   |+36.12806  |     |      |       |   Gaia2|17.2 |      |   G|        |      |      |    |      |     |                                               
2023 CX1   | Sar2667| CCD|L54 |    |2023-02-13T01:12:25.056Z|118.39758  |+36.13483  |     |      |       |   Gaia2|17.4 |      |   G|        |      |      |    |      |     |                                               
