# version=2017
 permID|provID     |  trkSub|mode|stn |sys    | ctr|pos1      |pos2      |pos3      |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|rmsCorr|  astCat|mag  |rmsMag|band| photCat|logSNR| exp|rmsFit|remarks                                             
  84100|2002 RP8   | AL79808| CCD|704 |       |    |          |          |          |    |2004-02-18T05:17:54.528Z|143.061    |+13.20011  |     |      |       |  USNOA2|19.8 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AL79808| CCD|704 |       |    |          |          |          |    |2004-02-18T05:34:57.504Z|143.05842  |+13.20117  |     |      |       |  USNOA2|20.4 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AL79808| CCD|704 |       |    |          |          |          |    |2004-02-18T06:10:24.672Z|143.05325  |+13.20369  |     |      |       |  USNOA2|20   |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AL79808| CCD|704 |       |    |          |          |          |    |2004-02-18T06:27:19.872Z|143.05067  |+13.20486  |     |      |       |  USNOA2|20   |      |   V|        |      |    |      |                                                    
  84100|           |  EeD30E| CCD|291 |       |    |          |          |          |    |2004-05-13T04:33:55.008Z|141.25338  |+15.66708  |     |      |       | USNOSA2|21.8 |      |   V|        |      |    |      |                                                    
  84100|           |  EeD30E| CCD|291 |       |    |          |          |          |    |2004-05-13T04:44:30.912Z|141.25462  |+15.66678  |     |      |       | USNOSA2|21.8 |      |   V|        |      |    |      |                                                    
  84100|           |  EeD30E| CCD|291 |       |    |          |          |          |    |2004-05-13T04:55:05.088Z|141.25604  |+15.66647  |     |      |       | USNOSA2|22.1 |      |   V|        |      |    |      |                                                    
  84100|           |  EeD40D| CCD|291 |       |    |          |          |          |    |2004-05-13T05:05:45.312Z|141.25708  |+15.66625  |     |      |       | USNOSA2|21.9 |      |   V|        |      |    |      |                                                    
  84100|           |  EeD40D| CCD|291 |       |    |          |          |          |    |2004-05-13T05:16:23.808Z|141.25842  |+15.66594  |     |      |       | USNOSA2|21.8 |      |   V|        |      |    |      |                                                    
  84100|           |  EeD40D| CCD|291 |       |    |          |          |          |    |2004-05-13T05:26:55.392Z|141.25962  |+15.66569  |     |      |       | USNOSA2|21.8 |      |   V|        |      |    |      |                                                    
  84100|           |  F31I0k| CCD|691 |       |    |          |          |          |    |2005-04-02T08:13:17.184Z|211.37333  | -5.65611  |     |      |       |  USNOA2|20.2 |      |   V|        |      |    |      |                                                    
  84100|           |  F31I0k| CCD|691 |       |    |          |          |          |    |2005-04-02T08:43:21.216Z|211.36958  | -5.65417  |     |      |       |  USNOA2|20.3 |      |   V|        |      |    |      |                                                    
  84100|           |  F31I0k| CCD|691 |       |    |          |          |          |    |2005-04-02T09:43:56.064Z|211.36221  | -5.65039  |     |      |       |  USNOA2|20.7 |      |   V|        |      |    |      |                                                    
  84100|           |  F4C90j| CCD|691 |       |    |          |          |          |    |2005-05-13T04:44:06.720Z|203.69329  | -2.30933  |     |      |       |  USNOA2|20.4 |      |   V|        |      |    |      |                                                    
  84100|           |  F4C90j| CCD|691 |       |    |          |          |          |    |2005-05-13T05:06:19.872Z|203.69079  | -2.30853  |     |      |       |  USNOA2|20.3 |      |   V|        |      |    |      |                                                    
  84100|           |  F4C90j| CCD|691 |       |    |          |          |          |    |2005-05-13T05:33:32.832Z|203.68779  | -2.30761  |     |      |       |  USNOA2|20.3 |      |   V|        |      |    |      |                                                    
  84100|           | 6K03B11| CCD|703 |       |    |          |          |          |    |2006-05-26T09:23:30.912Z|309.56429  |-12.77264  |     |      |       |   UCAC2|19   |      |   V|        |      |    |      |                                                    
  84100|           | 6K03B11| CCD|703 |       |    |          |          |          |    |2006-05-26T09:38:26.880Z|309.56592  |-12.77156  |     |      |       |   UCAC2|20.2 |      |   V|        |      |    |      |                                                    
  84100|           | 6K03B11| CCD|703 |       |    |          |          |          |    |2006-05-26T09:53:21.120Z|309.56683  |-12.77119  |     |      |       |   UCAC2|20.3 |      |   V|        |      |    |      |                                                    
