# version=2017
 permID|provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |  astCat|mag  |band|notes
 367943|2012 DA14  | K12D14A| CCD|H15 |    |2012-03-05T11:29:17.088Z|211.13079  |+58.96058  |   NOMAD|20.2 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|H15 |    |2012-03-05T11:40:45.696Z|211.12171  |+58.96553  |   NOMAD|20.4 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|H15 |    |2012-03-05T11:52:17.760Z|211.11221  |+58.97075  |   NOMAD|20.5 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|J95 |    |2012-03-06T02:19:04.512Z|210.66321  |+59.36589  |   UCAC3|20.4 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|J95 |    |2012-03-06T03:04:57.216Z|210.62879  |+59.38703  |   UCAC3|19.9 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|J95 |    |2012-03-06T03:50:09.312Z|210.59467  |+59.40689  |   UCAC3|20   |   R|K    
 367943|2012 DA14  | K12D14A| CCD|H21 |    |2012-03-10T09:02:40.704Z|207.37512  |+61.51847  |  USNOB1|21.4 |   V|K    
 367943|2012 DA14  | K12D14A| CCD|H21 |    |2012-03-10T09:22:29.482Z|207.36108  |+61.52339  |  USNOB1|20.8 |   V|K    
 367943|2012 DA14  | K12D14A| CCD|H21 |    |2012-03-10T09:36:41.904Z|207.35079  |+61.52675  |  USNOB1|20.8 |   V|K    
 367943|2012 DA14  | K12D14A| CCD|H21 |    |2012-03-11T08:24:42.509Z|206.67592  |+61.86458  |  USNOB1|21   |   V|K    
 367943|2012 DA14  | K12D14A| CCD|H21 |    |2012-03-11T08:46:45.379Z|206.66025  |+61.8695   |  USNOB1|     |    |K    
 367943|2012 DA14  | K12D14A| CCD|H21 |    |2012-03-11T09:09:36.374Z|206.64433  |+61.87444  |  USNOB1|21.6 |   V|K    
 367943|2012 DA14  | K12D14A| CCD|H01 |    |2012-03-12T07:14:39.840Z|206.02679  |+62.16097  |  USNOB1|20.7 |   R|     
 367943|2012 DA14  | K12D14A| CCD|H01 |    |2012-03-12T07:23:07.872Z|206.02104  |+62.16308  |  USNOB1|21.4 |   R|     
 367943|2012 DA14  | K12D14A| CCD|H01 |    |2012-03-12T07:37:22.368Z|206.01133  |+62.16664  |  USNOB1|21.4 |   R|     
 367943|2012 DA14  | K12D14A| CCD|H01 |    |2012-03-12T07:44:05.856Z|206.00675  |+62.16828  |  USNOB1|21.7 |   R|     
 367943|2012 DA14  | K12D14A| CCD|H21 |    |2012-03-13T07:31:19.834Z|205.29638  |+62.43778  |  USNOB1|21.8 |   V|K    
 367943|2012 DA14  | K12D14A| CCD|H21 |    |2012-03-13T07:49:32.534Z|205.28417  |+62.44117  |  USNOB1|21.4 |   V|K    
 367943|2012 DA14  | K12D14A| CCD|H01 |    |2012-03-13T07:58:02.208Z|205.29417  |+62.44378  |  USNOB1|21.4 |   R|     
 367943|2012 DA14  | K12D14A| CCD|H21 |    |2012-03-13T08:07:44.890Z|205.27163  |+62.44442  |  USNOB1|21.8 |   V|K    
 367943|2012 DA14  | K12D14A| CCD|H01 |    |2012-03-13T08:14:07.296Z|205.28333  |+62.44708  |  USNOB1|21   |   R|     
 367943|2012 DA14  | K12D14A| CCD|H01 |    |2012-03-13T08:25:54.912Z|205.27508  |+62.4495   |  USNOB1|21.1 |   R|     
 367943|2012 DA14  | K12D14A| CCD|H01 |    |2012-03-13T08:39:59.904Z|205.26533  |+62.45217  |  USNOB1|21.6 |   R|     
 367943|2012 DA14  | K12D14A| CCD|291 |    |2012-03-13T12:35:32.352Z|205.10825  |+62.48847  |  USNOB1|     |    |m    
 367943|2012 DA14  | K12D14A| CCD|291 |    |2012-03-13T12:40:13.152Z|205.10504  |+62.48892  |  USNOB1|     |    |m    
 367943|2012 DA14  | K12D14A| CCD|291 |    |2012-03-13T12:44:53.952Z|205.10233  |+62.48944  |  USNOB1|     |    |m    
 367943|2012 DA14  | K12D14A| CCD|H21 |    |2012-03-14T08:22:57.187Z|204.57096  |+62.68125  |  USNOB1|21.6 |   V|K    
 367943|2012 DA14  | K12D14A| CCD|H21 |    |2012-03-14T08:41:07.382Z|204.55896  |+62.68375  |  USNOB1|21.4 |   V|K    
 367943|2012 DA14  | K12D14A| CCD|H01 |    |2012-03-14T08:44:47.616Z|204.57175  |+62.68669  |  USNOB1|20.4 |   R|     
 367943|2012 DA14  | K12D14A| CCD|H01 |    |2012-03-14T08:54:17.856Z|204.56525  |+62.68828  |  USNOB1|20.3 |   R|     
 367943|2012 DA14  | K12D14A| CCD|H21 |    |2012-03-14T08:57:36.490Z|204.54792  |+62.68594  |  USNOB1|21.7 |   V|K    
 367943|2012 DA14  | K12D14A| CCD|H01 |    |2012-03-14T09:04:12.288Z|204.55842  |+62.68975  |  USNOB1|20.3 |   R|     
 367943|2012 DA14  | K12D14A| CCD|H01 |    |2012-03-14T09:13:45.120Z|204.55208  |+62.69128  |  USNOB1|20.4 |   R|     
 367943|2012 DA14  | K12D14A| CCD|291 |    |2012-03-15T11:55:26.976Z|203.77033  |+62.90703  |  USNOB1|     |    |K    
 367943|2012 DA14  | K12D14A| CCD|291 |    |2012-03-15T11:58:45.696Z|203.76817  |+62.90722  |  USNOB1|     |    |K    
