# version=2017
 permID|  trkSub|mode|stn |sys    | ctr|pos1       |pos2       |pos3       |prog|obsTime                 | ra        |dec        |rmsRA |rmsDec|rmsCorr|  astCat|mag   |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                            
     2P|        | UNK|168 |       |    |           |           |           |    |1984-02-25T15:12:35.136Z|  7.14175  |+10.51203  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|168 |       |    |           |           |           |    |1984-02-25T15:18:34.560Z|  7.14367  |+10.51289  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|168 |       |    |           |           |           |    |1984-02-29T15:10:04.800Z|  9.42633  |+11.20903  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|168 |       |    |           |           |           |    |1984-03-01T15:17:34.944Z| 10.01767  |+11.37789  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|168 |       |    |           |           |           |    |1984-03-02T15:14:35.232Z| 10.60996  |+11.54378  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|168 |       |    |           |           |           |    |1984-03-04T15:06:34.848Z| 11.81     |+11.86211  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|168 |       |    |           |           |           |    |1984-03-08T15:21:44.640Z| 14.25912  |+12.41428  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|168 |       |    |           |           |           |    |1984-03-09T15:17:29.760Z| 14.86758  |+12.52347  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|168 |       |    |           |           |           |    |1984-03-14T15:38:05.280Z| 17.7965   |+12.80183  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|323 |       |    |           |           |           |    |1984-04-12T21:15:29.664Z|359.7025   |-10.61228  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|323 |       |    |           |           |           |    |1984-04-13T21:33:00.288Z|358.88767  |-11.23475  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|   Encke| PHO|474 |       |    |           |           |           |    |1984-04-23T17:57:20.160Z|353.81175  |-14.92825  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|   Encke| PHO|474 |       |    |           |           |           |    |1984-04-23T18:07:50.016Z|353.80967  |-14.93025  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
