# version=2017
 permID|  trkSub|mode|stn |sys    | ctr|pos1      |pos2      |pos3      |prog|obsTime                 | ra        |dec        |rmsRA   |rmsDec  |rmsCorr|  astCat|mag  |rmsMag  |band| photCat|photAp|logSNR| exp|rmsFit|notes
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-09T00:44:08.160Z| 76.57187  |+15.82917  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-09T00:50:06.720Z| 76.57179  |+15.82908  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-10T04:33:44.640Z| 76.59817  |+15.81367  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-10T04:38:47.040Z| 76.59817  |+15.81361  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-10T04:43:46.848Z| 76.59821  |+15.81369  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-10T04:48:45.792Z| 76.59817  |+15.81364  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-12T00:03:09.216Z| 76.62129  |+15.78894  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-12T00:13:07.968Z| 76.62146  |+15.78894  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-12T00:23:05.856Z| 76.62142  |+15.78894  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-12T00:33:04.608Z| 76.62162  |+15.78894  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-12T23:30:03.744Z| 76.62354  |+15.77633  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-12T23:35:02.688Z| 76.62358  |+15.77619  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-12T23:40:01.632Z| 76.62354  |+15.77606  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-12T23:45:00.576Z| 76.6235   |+15.77583  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-14T00:22:28.704Z| 76.61679  |+15.76044  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-14T00:27:57.024Z| 76.61758  |+15.76044  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-14T00:33:26.208Z| 76.6175   |+15.7605   |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-14T00:40:25.248Z| 76.61725  |+15.7605   |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-15T23:17:16.512Z| 76.58542  |+15.73219  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-15T23:22:45.696Z| 76.58525  |+15.73214  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-15T23:28:14.880Z| 76.58525  |+15.73183  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-15T23:33:13.824Z| 76.58496  |+15.73192  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
