# version=2017
 permID|provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|rmsCorr|  astCat|mag   |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                                                                                            
 614689|2020 XL5   | K20X05L| CCD|I33 |    |2021-03-09T09:44:20.083Z|315.902608 | -8.792658 |     |      |       |   Gaia2|21.5  |      |   G|        |      |      |    |      |K    |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|I33 |    |2021-03-14T09:47:44.765Z|322.191587 | -7.555717 |     |      |       |   Gaia2|      |      |    |        |      |      |    |      |K    |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|I33 |    |2021-03-17T09:49:25.334Z|325.874125 | -6.807475 |     |      |       |   Gaia2|      |      |    |        |      |      |    |      |K    |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|T12 |    |2021-09-12T14:39:32.24Z |106.92655  | +9.715372 |0.066|0.066 |       |   Gaia2|24.31 |0.27  |   G|   Gaia2| 0.9  |0.61  | 480|0.069 |     |S: 0.0029 0.0010 O: 0.0659 0.0659                                                                                  
 614689|2020 XL5   | K20X05L| CCD|T12 |    |2021-09-12T14:48:00.65Z |106.930191 | +9.714623 |0.09 |0.09  |       |   Gaia2|23.97 |0.21  |   G|   Gaia2| 0.9  |0.71  | 480|0.062 |     |S: 0.0025 0.0010 O: 0.0947 0.0947                                                                                  
 614689|2020 XL5   | K20X05L| CCD|T12 |    |2021-09-12T14:56:44.53Z |106.933929 | +9.713812 |0.066|0.066 |       |   Gaia2|24.31 |0.26  |   G|   Gaia2| 0.8  |0.62  | 480|0.063 |     |S: 0.0026 0.0009 O: 0.0659 0.0659                                                                                  
 614689|2020 XL5   | K20X05L| CCD|T12 |    |2021-09-13T14:48:39.08Z |107.554539 | +9.579469 |0.045|0.045 |       |   Gaia2|23.47 |0.13  |   G|   Gaia2| 0.9  |0.91  | 480|0.061 |     |S: 0.0027 0.0010 O: 0.0453 0.0453                                                                                  
 614689|2020 XL5   | K20X05L| CCD|T12 |    |2021-09-13T14:57:14.11Z |107.558225 | +9.578669 |0.054|0.054 |       |   Gaia2|23.33 |0.11  |   G|   Gaia2| 0.9  |0.99  | 480|0.062 |     |S: 0.0027 0.0010 O: 0.0535 0.0535                                                                                  
 614689|2020 XL5   | K20X05L| CCD|T12 |    |2021-11-09T15:14:40.39Z |144.896563 | -2.203746 |0.045|0.045 |       |   Gaia2|22.63 |0.12  |   G|   Gaia2| 0.9  |0.94  | 120|0.045 |     |S: 0.0032 0.0029 O: 0.0453 0.0453                                                                                  
 614689|2020 XL5   | K20X05L| CCD|T12 |    |2021-11-09T15:16:57.54Z |144.897721 | -2.204175 |0.045|0.045 |       |   Gaia2|22.36 |0.09  |   G|   Gaia2| 0.9  |1.07  | 120|0.046 |     |S: 0.0033 0.0029 O: 0.0453 0.0453                                                                                  
 614689|2020 XL5   | K20X05L| CCD|T12 |    |2021-11-09T15:19:35.01Z |144.89906  | -2.204697 |0.041|0.041 |       |   Gaia2|22.332|0.088 |   G|   Gaia2| 0.9  |1.09  | 120|0.046 |     |S: 0.0037 0.0027 O: 0.0412 0.0412                                                                                  
 614689|           | P224N3p| CCD|F52 |    |2024-12-30T15:09:33.7Z  |200.073288 |-18.587775 |     |      |       |  Gaia3E|21.4  |0.27  |  Pw|        |      |0.61  |  45|      |     |                                                                                                                   
 614689|           | P224N3p| CCD|F52 |    |2024-12-30T15:17:54.7Z  |200.08292  |-18.589394 |     |      |       |  Gaia3E|21.4  |0.28  |  Pw|        |      |0.61  |  45|      |     |                                                                                                                   
 614689|           | P224N3p| CCD|F52 |    |2024-12-30T15:26:16.3Z  |200.092632 |-18.590857 |     |      |       |  Gaia3E|21.45 |0.2   |  Pw|        |      |0.76  |  45|      |     |                                                                                                                   
 614689|           | P224N3p| CCD|F52 |    |2024-12-30T15:34:39.3Z  |200.102297 |-18.592461 |     |      |       |  Gaia3E|21.26 |0.17  |  Pw|        |      |0.83  |  45|      |     |                                                                                                                   
