# version=2017
 permID|provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|  astCat|mag  |rmsMag|band|logSNR| exp|notes
  20000|           |   20000| CCD|688 |  0C|2006-03-25T03:46:15.168Z|106.501125 |+25.336414 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|304 |    |2006-04-02T00:02:04.416Z|106.503083 |+25.335697 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|304 |    |2006-04-02T23:36:36.864Z|106.505242 |+25.335389 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|304 |    |2006-04-02T23:42:42.336Z|106.505229 |+25.335381 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|304 |    |2006-04-02T23:49:48.288Z|106.505242 |+25.335372 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|304 |    |2006-04-02T23:56:55.104Z|106.505233 |+25.335361 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|807 |  0S|2006-04-23T23:35:26.880Z|106.647654 |+25.3193   |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|807 |  0S|2006-04-24T23:27:38.592Z|106.658867 |+25.318117 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|807 |  0S|2006-04-24T23:41:34.080Z|106.658967 |+25.318089 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|807 |  0S|2006-04-24T23:54:41.184Z|106.659087 |+25.318094 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|807 |  0S|2006-05-07T23:19:53.760Z|106.8397   |+25.299586 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|807 |  0S|2006-05-07T23:32:21.984Z|106.839854 |+25.299575 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2006-12-20T09:13:18.336Z|109.415087 |+25.337386 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2006-12-20T09:24:46.080Z|109.414888 |+25.337403 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|147 |    |2006-12-23T01:12:19.872Z|109.35971  |+25.34778  |     |      |   UCAC2|19.7 |      |   R|      |    |     
  20000|           |   20000| CCD|130 |    |2007-01-12T22:49:58.368Z|108.90337  |+25.42628  |     |      |   UCAC2|20   |      |   R|      |    |     
  20000|           |   20000| CCD|688 |  0C|2007-04-11T03:32:34.368Z|107.902421 |+25.553919 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2007-04-11T03:51:46.944Z|107.90255  |+25.553936 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2007-04-11T04:02:30.624Z|107.902554 |+25.553944 |     |      |   UCAC2|     |      |    |      |    |     
