# version=2017
 permID|  trkSub|mode|stn |sys    | ctr|pos1      |pos2      |pos3      |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|  astCat|mag   |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                                                 
    46P|        | CCD|809 |       |    |          |          |          |    |1996-06-19T07:00:14.112Z|333.7585   |-22.86892  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-07-09T08:00:44.640Z|333.65733  |-24.99842  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-07-09T09:00:59.616Z|333.65417  |-25.00403  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-07-10T06:13:41.664Z|333.59063  |-25.12306  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-07-10T07:33:29.088Z|333.586    |-25.13064  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-07-11T06:12:24.768Z|333.51163  |-25.26036  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-07-11T09:04:25.248Z|333.50058  |-25.27697  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-07-12T10:02:02.112Z|333.40963  |-25.42267  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-07-12T10:22:16.896Z|333.40825  |-25.42461  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|421 |       |    |          |          |          |    |1996-08-10T16:11:21.984Z|327.69454  |-30.17031  |     |      |     UNK|19.2  |      |   R|        |      |      |    |      |     |                                                                        
    46P|        | CCD|360 |       |    |          |          |          |    |1996-08-10T16:14:14.784Z|327.69454  |-30.17025  |     |      |     UNK|18.9  |      |   R|        |      |      |    |      |     |                                                                        
    46P|        | CCD|360 |       |    |          |          |          |    |1996-08-10T16:22:29.856Z|327.69262  |-30.17122  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|421 |       |    |          |          |          |    |1996-08-10T16:24:11.808Z|327.692    |-30.17178  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|360 |       |    |          |          |          |    |1996-08-10T16:30:44.928Z|327.69092  |-30.17186  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|421 |       |    |          |          |          |    |1996-08-10T16:41:37.248Z|327.68862  |-30.17289  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|568 |       |    |          |          |          |    |1996-08-17T08:05:15.936Z|325.66683  |-31.21383  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|568 |       |    |          |          |          |    |1996-08-17T08:30:57.312Z|325.66096  |-31.21656  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|568 |       |    |          |          |          |    |1996-08-17T08:57:27.072Z|325.65492  |-31.21936  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|568 |       |    |          |          |          |    |1996-08-17T09:10:07.392Z|325.65208  |-31.22067  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|568 |       |    |          |          |          |    |1996-08-17T11:43:08.256Z|325.61725  |-31.23647  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|568 |       |    |          |          |          |    |1996-08-17T13:04:56.640Z|325.59867  |-31.24472  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-08-18T06:07:43.968Z|325.37358  |-31.34792  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-08-18T07:56:53.952Z|325.34821  |-31.35892  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-08-19T03:59:30.048Z|325.08171  |-31.48003  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-08-19T08:15:51.840Z|325.02308  |-31.505    |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|360 |       |    |          |          |          |    |1996-08-19T14:34:29.856Z|324.93967  |-31.54425  |     |      |     UNK|18.9  |      |   R|        |      |      |    |      |     |                                                                        
    46P|        | CCD|360 |       |    |          |          |          |    |1996-08-19T14:41:29.760Z|324.93779  |-31.54489  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|360 |       |    |          |          |          |    |1996-08-19T15:00:00.000Z|324.93383  |-31.54689  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-08-20T02:47:30.048Z|324.77508  |-31.61453  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-08-20T09:20:18.240Z|324.68513  |-31.65214  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-08-21T04:02:47.040Z|324.43371  |-31.76014  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-08-21T08:38:47.328Z|324.36954  |-31.78603  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-08-22T05:02:55.104Z|324.09313  |-31.90092  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-08-22T08:16:09.120Z|324.04804  |-31.91836  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-08-23T04:36:12.384Z|323.77187  |-32.02972  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-08-23T08:44:55.392Z|323.71375  |-32.0515   |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
