# version=2017
provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |rmsRA |rmsDec|rmsCorr|  astCat|mag  |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes
2026 FO12  | ST26CB5| CCD|J95 |  00|2026-03-26T03:38:23.290Z|204.8208   |+12.87574  |0.35  |0.35  |       |   Gaia3|19.6 |0.1   |   G|   Gaia3| 7.6  |1.13  | 300|0.1   |K    
2026 FO12  | ST26CB5| CCD|J95 |  00|2026-03-26T03:44:09.840Z|204.82132  |+12.90502  |0.21  |0.21  |       |   Gaia3|19.2 |0.11  |   G|   Gaia3| 7.6  |1.14  | 300|0.09  |K    
2026 FO12  | ST26CB5| CCD|J95 |  00|2026-03-26T03:50:00.290Z|204.8216   |+12.93428  |0.29  |0.29  |       |   Gaia3|19.4 |0.1   |   G|   Gaia3| 7.6  |1.12  | 300|0.09  |K    
2026 FO12  | ST26CB5| CCD|I52 |  01|2026-03-26T08:57:26.780Z|204.88446  |+14.47181  |0.087 |0.084 | 0     |   Gaia2|19.17|0.471 |   G|   Gaia2|      |1.273 |    |0.063 |m    
2026 FO12  | ST26CB5| CCD|I52 |  01|2026-03-26T08:57:53.472Z|204.884445 |+14.47399  |0.091 |0.09  | 0     |   Gaia2|19   |0.48  |   G|   Gaia2|      |1.237 |    |0.066 |m    
2026 FO12  | ST26CB5| CCD|I52 |  01|2026-03-26T08:58:20.179Z|204.88443  |+14.47616  |0.102 |0.1   | 0     |   Gaia2|19.02|0.483 |   G|   Gaia2|      |1.097 |    |0.069 |m    
2026 FO12  | TF26CM3| CCD|U74 |    |2026-03-26T09:20:19.820Z|204.890125 |+14.579827 |0.5489|0.5489| 0     |   Gaia2|20.52|0.2   |   G|   Gaia2|      |0.74  |    |      |     
2026 FO12  | TF26CM3| CCD|U74 |    |2026-03-26T09:25:02.720Z|204.889968 |+14.603075 |0.5489|0.5489| 0     |   Gaia2|20.52|0.2   |   G|   Gaia2|      |0.74  |    |      |     
2026 FO12  | ST26CB5| CCD|958 |    |2026-03-26T22:29:36.154Z|205.02771  |+18.2435   |      |      |       |  Gaia3E|19.5 |      |   G|        |      |      |    |      |     
2026 FO12  | ST26CB5| CCD|958 |    |2026-03-26T22:40:40.829Z|205.02812  |+18.29306  |      |      |       |  Gaia3E|19.9 |      |   G|        |      |      |    |      |     
2026 FO12  | ST26CB5| CCD|958 |    |2026-03-26T22:51:39.542Z|205.02879  |+18.34211  |      |      |       |  Gaia3E|19.6 |      |   G|        |      |      |    |      |     
