# version=2017
provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |rmsRA  |rmsDec |rmsCorr|  astCat|mag   |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                              
2024 PT5   | A119q0V| CMO|Y05 |    |2024-08-13T00:28:33.1Z  |272.243334 | -1.141614 |0.23   |0.17   |       |  ATLAS2|18.3  |0.19  |  Vj|  ATLAS2| 7.4  |1.21  |  80|0.25  |K    |                                     
2024 PT5   | A119H6e| CCD|W68 |    |2024-08-13T02:26:24.29Z |272.14502  | -0.3912   |0.504  |0.743  |-0.49  |   Gaia2|17.29 |0.104 |  Ao|        |      |0.983 |    |      |     |atlas_W68/T3743842/D317822702        
2024 PT5   | A119H6e| CCD|W68 |    |2024-08-13T02:30:57.21Z |272.13267  | -0.36564  |0.562  |0.826  |-0.488 |   Gaia2|17.32 |0.115 |  Ao|        |      |0.939 |    |      |     |atlas_W68/T3743842/D317824161        
2024 PT5   | A119H6e| CCD|W68 |    |2024-08-13T02:38:46.13Z |272.112    | -0.32248  |0.369  |0.542  |-0.49  |   Gaia2|17.76 |0.076 |  Ao|        |      |1.119 |    |      |     |atlas_W68/T3743842/D317827598        
2024 PT5   | A119H6e| CCD|W68 |    |2024-08-13T02:53:03.96Z |272.07449  | -0.24271  |0.428  |0.632  |-0.491 |   Gaia2|17.57 |0.089 |  Ao|        |      |1.051 |    |      |     |atlas_W68/T3743842/D317835151        
2024 PT5   | A119HJS| CCD|W68 |    |2024-08-13T04:18:21.17Z |271.86967  | +0.22833  |0.365  |0.365  |       |   Gaia2|18.11 |0.09  |  Ao|        |      |1.046 |    |      |     |atlas_W68/T3744378/D317885854        
2024 PT5   | A119HJS| CCD|W68 |    |2024-08-13T04:19:00.07Z |271.8682   | +0.2316   |0.474  |0.474  |       |   Gaia2|17.66 |0.125 |  Ao|        |      |0.903 |    |      |     |atlas_W68/T3744378/D317886197        
2024 PT5   | A119HJS| CCD|W68 |    |2024-08-13T04:19:39.00Z |271.86691  | +0.23509  |0.369  |0.369  |       |   Gaia2|17.6  |0.095 |  Ao|        |      |1.022 |    |      |     |atlas_W68/T3744378/D317886519        
2024 PT5   | A119q0V| CCD|U52 |    |2024-08-13T05:01:23Z    |272.13307  | -0.15086  |0.54   |0.49   |       |   Gaia2|17.6  |0.3   |   G|   Gaia2| 8.7  |0.55  | 132|0.28  |K    |                                     
2024 PT5   | A119q0V| CCD|U52 |    |2024-08-13T05:04:11Z    |272.12622  | -0.13551  |0.32   |0.27   |       |   Gaia2|17    |0.26  |   G|   Gaia2| 8.7  |0.85  | 132|0.24  |K    |                                     
