# version=2017
permID|provID|trkSub|mode|stn|obsTime|ra|dec|rmsRA|rmsDec|astCat|mag|band
4179|||CCD|410|1992-12-18T15:25:12.000Z|137.32242|12.13797|||GSC||
4179|||CCD|871|1992-12-18T15:31:03.648Z|137.31542|12.14197|||GSCACT||
4179||4179|UNK|104|1992-12-19T00:14:30.048Z|136.73246|12.46819|||GSC||
4179||4179|UNK|104|1992-12-19T00:18:30.240Z|136.72796|12.47047|||GSC||
4179|||UNK|084|1992-12-19T01:29:22.934Z|136.636613|12.507519|||UNK||
4179|||UNK|084|1992-12-19T01:55:13.469Z|136.607967|12.522933|||UNK||
4179|||UNK|084|1992-12-19T01:58:48.086Z|136.603617|12.525319|||UNK||
4179|||CCD|411|1992-12-19T12:24:50.400Z|135.98746|12.89633|||GSC||
4179|||CCD|411|1992-12-19T12:27:52.704Z|135.98463|12.89817|||GSC||
4179|||CCD|411|1992-12-19T12:32:49.920Z|135.97958|12.90106|||GSC||
4179|||UNK|069|1992-12-21T00:03:29.952Z|134.020588|13.970072|||GSCACT||
4179|||UNK|069|1992-12-21T00:27:30.240Z|133.998883|13.980928|||GSCACT||
4179|||UNK|069|1992-12-21T00:47:30.336Z|133.980804|13.990089|||GSCACT||
4179|||UNK|069|1992-12-21T01:08:30.048Z|133.962204|13.999825|||GSCACT||
4179|||UNK|084|1992-12-21T01:08:48.192Z|133.960383|13.998561|||UNK||
4179|||UNK|084|1992-12-21T01:13:02.467Z|133.956637|14.000544|||UNK||
4179|||UNK|084|1992-12-21T01:17:46.464Z|133.952421|14.002625|||UNK||
4179|||UNK|084|1992-12-21T01:22:00.739Z|133.949087|14.004492|||UNK||
4179|||UNK|084|1992-12-21T01:25:59.635Z|133.944504|14.006578|||UNK||
4179|||UNK|084|1992-12-21T01:26:15.014Z|133.944792|14.006617|||UNK||
4179|||UNK|084|1992-12-21T01:29:58.963Z|133.941392|14.008108|||UNK||
4179|||UNK|069|1992-12-21T01:36:00.288Z|133.937571|14.012219|||GSCACT||
4179|||UNK|084|1992-12-21T01:36:43.574Z|133.935771|14.011283|||UNK||
4179|||UNK|084|1992-12-21T01:38:58.272Z|133.933504|14.011939|||UNK||
4179|||UNK|084|1992-12-21T01:39:27.475Z|133.933000|14.012225|||UNK||
4179|||UNK|084|1992-12-21T01:41:12.883Z|133.931675|14.013119|||UNK||
4179|||UNK|084|1992-12-21T01:43:27.494Z|133.929637|14.014089|||UNK||
4179|||UNK|084|1992-12-21T01:45:42.106Z|133.927717|14.015192|||UNK||
4179|||UNK|084|1992-12-21T01:50:55.565Z|133.923275|14.017353|||UNK||
4179|||UNK|084|1992-12-21T02:03:53.424Z|133.911667|14.022953|||UNK||
4179|||UNK|084|1992-12-21T02:09:52.416Z|133.906046|14.025947|||UNK||
4179|||UNK|084|1992-12-21T02:10:23.261Z|133.906021|14.025981|||UNK||
4179|||UNK|084|1992-12-21T02:14:43.584Z|133.902208|14.027881|||UNK||
4179|||UNK|084|1992-12-21T02:18:51.898Z|133.898483|14.029703|||UNK||
4179|||UNK|084|1992-12-21T02:23:06.173Z|133.894646|14.031806|||UNK||
4179|||CCD|801|1992-12-21T07:36:47.808Z|133.64696|14.17667|||UNK||
